ncols	100
nrows	103
xllcorner	417958.405121
yllcorner	4513292.473900
cellsize	20.000000
NODATA_value	-9999.000000
13	13	36	37	37	39	43	43	43	43	42	39	39	36	33	33	30	30	28	26	26	25	25	25	25	25	25	25	25	26	27	27	29	29	31	31	31	30	28	28	26	26	25	25	25	24	24	24	24	24	25	26	26	28	31	31	34	34	39	46	46	53	62	62	68	68	70	71	71	70	69	69	66	66	63	58	58	52	47	47	43	43	37	29	29	26	25	25	25	25	24	25	25	28	31	31	39	39	45	45	
13	13	36	37	37	39	43	43	43	43	42	39	39	36	33	33	30	30	28	26	26	25	25	25	25	25	25	25	25	26	27	27	29	29	31	31	31	30	28	28	26	26	25	25	25	24	24	24	24	24	25	26	26	28	31	31	34	34	39	46	46	53	62	62	68	68	70	71	71	70	69	69	66	66	63	58	58	52	47	47	43	43	37	29	29	26	25	25	25	25	24	25	25	28	31	31	39	39	45	45	
13	13	36	37	37	39	43	43	43	43	42	39	39	36	33	33	30	30	28	26	26	25	25	25	25	25	25	25	25	26	27	27	29	29	31	31	31	30	28	28	26	26	25	25	25	24	24	24	24	24	25	26	26	28	31	31	34	34	39	46	46	53	62	62	68	68	70	71	71	70	69	69	66	66	63	58	58	52	47	47	43	43	37	29	29	26	25	25	25	25	24	25	25	28	31	31	39	39	45	45	
13	13	36	37	37	39	43	43	43	43	42	39	39	36	33	33	30	30	28	26	26	25	25	25	25	25	25	25	25	26	27	27	29	29	31	31	31	30	28	28	26	26	25	25	25	24	24	24	24	24	25	26	26	28	31	31	34	34	39	46	46	53	62	62	68	68	70	71	71	70	69	69	66	66	63	58	58	52	47	47	43	43	37	29	29	26	25	25	25	25	24	25	25	28	31	31	39	39	45	45	
18	18	48	47	47	45	46	46	45	45	43	40	40	36	33	33	31	31	28	27	27	26	26	26	26	26	27	27	27	28	29	29	32	32	33	33	33	31	28	28	27	27	27	26	26	26	26	26	27	27	28	29	29	31	34	34	38	38	43	48	48	54	58	58	62	62	64	64	64	64	62	62	60	60	57	53	53	47	43	43	40	40	33	26	26	25	26	26	26	26	25	27	27	31	35	35	44	44	50	50	
23	23	63	60	60	54	52	52	50	50	46	42	42	38	34	34	32	32	30	29	29	30	30	30	31	31	31	32	32	33	35	35	37	37	39	37	37	34	30	30	29	29	29	29	29	29	30	30	32	32	33	35	35	38	42	42	46	46	49	53	53	54	55	55	55	55	55	55	55	54	53	53	51	51	48	44	44	40	37	37	34	34	28	22	22	24	27	27	28	28	29	32	32	37	42	42	51	51	57	57	
23	23	63	60	60	54	52	52	50	50	46	42	42	38	34	34	32	32	30	29	29	30	30	30	31	31	31	32	32	33	35	35	37	37	39	37	37	34	30	30	29	29	29	29	29	29	30	30	32	32	33	35	35	38	42	42	46	46	49	53	53	54	55	55	55	55	55	55	55	54	53	53	51	51	48	44	44	40	37	37	34	34	28	22	22	24	27	27	28	28	29	32	32	37	42	42	51	51	57	57	
22	22	64	63	63	60	58	58	55	55	50	45	45	40	36	36	33	33	32	31	31	32	33	33	33	33	34	35	35	36	39	39	41	41	42	40	40	35	31	31	30	30	31	31	31	32	33	33	35	35	37	39	39	42	46	46	49	49	52	54	54	55	54	54	53	53	52	51	51	50	48	48	46	46	43	40	40	36	32	32	30	30	25	21	21	24	28	28	29	29	32	36	36	41	47	47	56	56	60	60	
22	22	64	63	63	60	58	58	55	55	50	45	45	40	36	36	33	33	32	31	31	32	33	33	33	33	34	35	35	36	39	39	41	41	42	40	40	35	31	31	30	30	31	31	31	32	33	33	35	35	37	39	39	42	46	46	49	49	52	54	54	55	54	54	53	53	52	51	51	50	48	48	46	46	43	40	40	36	32	32	30	30	25	21	21	24	28	28	29	29	32	36	36	41	47	47	56	56	60	60	
27	27	66	65	65	63	61	61	57	57	52	47	47	42	38	38	35	35	33	33	33	34	34	34	35	35	36	36	36	38	40	40	43	43	43	41	41	37	32	32	31	31	32	32	32	33	35	35	37	37	39	41	41	44	48	48	52	52	54	55	55	55	54	54	52	52	51	50	50	48	46	46	44	44	41	37	37	33	29	29	27	27	23	20	20	24	28	28	30	30	33	38	38	44	50	50	58	58	62	62	
23	23	67	67	67	65	63	63	59	59	53	48	48	43	40	40	37	37	35	34	34	35	36	36	37	37	37	38	38	39	42	42	44	44	45	43	43	38	33	33	32	32	33	33	33	35	37	37	39	39	41	43	43	46	49	49	52	52	55	55	55	55	53	53	51	51	50	48	48	47	45	45	42	42	39	35	35	31	27	27	25	25	21	20	20	25	28	28	30	30	34	40	40	46	52	52	60	60	63	63	
23	23	67	67	67	65	63	63	59	59	53	48	48	43	40	40	37	37	35	34	34	35	36	36	37	37	37	38	38	39	42	42	44	44	45	43	43	38	33	33	32	32	33	33	33	35	37	37	39	39	41	43	43	46	49	49	52	52	55	55	55	55	53	53	51	51	50	48	48	47	45	45	42	42	39	35	35	31	27	27	25	25	21	20	20	25	28	28	30	30	34	40	40	46	52	52	60	60	63	63	
21	21	68	68	68	67	64	64	61	61	55	50	50	45	42	42	39	39	36	34	34	35	37	37	38	38	38	39	39	40	43	43	45	45	46	44	44	41	35	35	33	33	33	34	34	36	39	39	41	41	42	45	45	47	50	50	53	53	54	55	55	54	53	53	50	50	48	47	47	45	42	42	39	39	37	33	33	29	26	26	23	23	20	19	19	24	27	27	30	30	35	41	41	48	54	54	61	61	64	64	
24	24	69	69	69	67	65	65	62	62	57	51	51	47	43	43	40	40	37	35	35	35	37	37	38	38	39	40	40	41	43	43	46	46	47	46	46	43	38	38	34	34	34	35	35	37	39	39	41	41	43	45	45	47	50	50	52	52	54	54	54	54	52	52	49	49	47	45	45	42	40	40	36	36	34	31	31	27	24	24	20	20	18	19	19	23	27	27	30	30	36	43	43	50	55	55	62	62	65	65	
24	24	69	69	69	67	65	65	62	62	57	51	51	47	43	43	40	40	37	35	35	35	37	37	38	38	39	40	40	41	43	43	46	46	47	46	46	43	38	38	34	34	34	35	35	37	39	39	41	41	43	45	45	47	50	50	52	52	54	54	54	54	52	52	49	49	47	45	45	42	40	40	36	36	34	31	31	27	24	24	20	20	18	19	19	23	27	27	30	30	36	43	43	50	55	55	62	62	65	65	
24	24	69	69	69	67	65	65	62	62	57	52	52	48	45	45	42	42	39	36	36	36	38	38	39	39	40	41	41	41	44	44	46	46	47	47	47	45	40	40	35	35	34	35	35	37	39	39	42	42	43	45	45	48	50	50	52	52	53	53	53	52	50	50	47	47	45	43	43	41	38	38	34	34	31	29	29	26	22	22	18	18	16	19	19	23	27	27	31	31	37	45	45	51	57	57	63	63	66	66	
24	24	69	69	69	67	65	65	62	62	57	52	52	48	45	45	42	42	39	36	36	36	38	38	39	39	40	41	41	41	44	44	46	46	47	47	47	45	40	40	35	35	34	35	35	37	39	39	42	42	43	45	45	48	50	50	52	52	53	53	53	52	50	50	47	47	45	43	43	41	38	38	34	34	31	29	29	26	22	22	18	18	16	19	19	23	27	27	31	31	37	45	45	51	57	57	63	63	66	66	
24	24	70	70	70	68	66	66	62	62	57	52	52	48	46	46	44	44	42	39	39	37	39	39	40	40	40	41	41	42	44	44	46	46	47	47	47	46	42	42	36	36	33	34	34	37	40	40	42	42	44	46	46	48	49	49	51	51	52	51	51	50	48	48	45	45	43	42	42	40	37	37	33	33	30	28	28	24	20	20	16	16	14	18	18	23	27	27	32	32	38	45	45	51	57	57	64	64	66	66	
